Collection_ID,Slide_ID,Gen,Clade,Morph,a3_length,a4_length,a5_length,abdomen_width,antenna_length,body_length,body_width,cauda_length,cauda_width,compound_eye_width,forewing_length,hindwing_length,metafemur_length,metatarsomere_length,metatibia_length,n_a3_sensoria,n_a3_setae,n_a4_sensoria,n_a4_setae,n_a5_sensoria,n_a5_setae,n_antennal_segments,n_apical_antenna_setae,n_apical_head_setae,n_bilobed_anal_plate_setae,n_cauda_long_setae,n_cauda_short_setae,n_genital_plate_setae,n_hindwing_hooklets,n_metacoxa_setae,n_metafemur_setae,n_metatarsus_1_setae,n_metatarsus_2_setae,n_metatibia_apical_setae,n_metatibia_setae,n_pedicel_setae,n_rostrum_2_setae,n_scape_setae,n_urs_secondary_setae,pedicel_length,protibia_length,rostrum_length,thorax_width,urs_length,urs_width
23-113,II-L-11,2,L,alate,0.236596113,0.140934905,0.106955547,0.879756303,NA,1.934856505,NA,0.02974051,0.046358467,0.10635269,2.269656969,1.282953416,0.362533944,0.109820853,0.461767718,31,NA,14,NA,12,NA,NA,3,NA,14,2,7,23,2,4,25,2,NA,6,28,NA,NA,NA,4,0.046265932,0.302922329,0.335712182,0.798446466,0.077142843,0.03637849
23-116,II-L-13,2,L,alate,0.296423807,0.131687771,0.104864423,0.986722974,NA,1.997190139,NA,0.027453812,0.045643597,0.107525192,2.427908022,1.405387628,0.346231059,0.097164411,0.45021402,34,NA,15,NA,13,NA,NA,3,NA,16,2,6,26,2,4,14,2,NA,5,30,NA,NA,NA,6,0.046397143,0.300387778,0.384168154,0.809129789,0.078046974,0.038843312
23-128a,II-L-09,2,L,alate,0.270574239,0.143025248,0.122751015,0.992006004,NA,1.928120925,NA,0.034264975,0.059245881,0.124961173,2.477038625,1.551871677,0.375993513,0.099509113,0.483690083,36,NA,12,NA,11,NA,NA,4,NA,13,2,7,27,2,4,18,2,NA,5,34,NA,NA,NA,5,0.04604748,0.305553172,0.340279082,0.862698473,0.068192465,0.044831735
23-128b,II-L-10,2,L,alate,0.257713284,0.133159287,0.098701672,0.95112403,NA,1.857517758,NA,0.03623219,0.055763093,0.122970604,2.478045423,1.308775266,0.345175361,0.09608163,0.443960611,28,NA,15,NA,10,NA,NA,4,NA,13,2,5,25,2,4,18,2,NA,3,28,NA,NA,NA,5,0.043418179,0.317070799,0.35074304,0.803553006,0.070477746,0.039760419
23-30a,II-L-01,2,L,alate,0.270162631,0.120491805,0.09138323,1.030212753,NA,1.944024229,NA,0.021449967,0.052509807,0.119449316,2.359095357,1.377981693,0.375259262,0.116834302,0.448010403,29,NA,12,NA,10,NA,NA,5,NA,16,2,8,20,2,4,22,1,NA,5,30,NA,NA,NA,4,0.052085318,0.328300441,0.36555051,0.810212096,0.06491134,0.046452887
23-30b,II-L-02,2,L,alate,0.254376693,0.123079926,0.115327711,0.871051279,NA,1.841103042,NA,0.039781685,0.053981459,0.111966353,2.342820207,1.583447978,0.365058039,0.098550221,0.455329653,30,NA,13,NA,11,NA,NA,6,NA,14,2,8,17,2,4,26,2,NA,6,25,NA,NA,NA,6,0.049810221,0.281972253,0.350931949,0.757124975,0.069593399,0.041381005
23-30c,II-L-03,2,L,alate,0.233209228,0.136176606,0.116051096,NA,NA,NA,NA,NA,NA,0.139142882,NA,1.418057036,0.377728701,0.107130955,0.44206941,30,NA,16,NA,11,NA,NA,6,NA,19,2,6,26,2,1,20,1,NA,4,28,NA,NA,NA,NA,NA,0.317008763,NA,0.776342463,0.0612769,0.039121279
23-30d,II-L-04,2,L,alate,0.26448836,0.120723425,0.097418147,0.876331162,NA,1.767526463,NA,0.039338919,0.052256633,0.10600241,2.320562903,1.404991541,0.362658918,0.105850656,0.451883511,36,NA,14,NA,11,NA,NA,3,NA,19,2,7,32,2,3,19,2,NA,5,23,NA,NA,NA,4,0.054675389,0.300567556,0.360529252,0.765244268,0.072653026,0.037100085
23-30e,II-L-05,2,L,alate,0.258344716,0.133929569,0.074605393,0.84143805,NA,1.876415756,NA,0.03856631,0.057375627,0.138635173,2.39427465,1.525951273,0.363392965,0.092824889,0.442835397,27,NA,16,NA,7,NA,NA,3,NA,19,2,8,26,2,3,18,2,NA,5,35,NA,NA,NA,4,0.047645807,0.295812043,0.341034139,0.827609091,0.077666977,0.039118886
23-30f,II-L-06,2,L,alate,0.268990695,0.147731713,0.108078301,1.016986331,NA,1.964434746,NA,0.040590043,0.052984444,0.128835372,2.369843428,1.510102622,0.355458452,0.089050287,0.435691893,29,NA,15,NA,9,NA,NA,3,NA,19,2,8,30,2,3,22,1,NA,6,37,NA,NA,NA,6,0.044433866,0.297252521,0.335824684,0.855749765,0.075220883,0.039403805
23-53,II-L-15,2,L,alate,0.192646094,0.121481473,0.08280801,0.803995624,NA,1.928120925,NA,0.033515589,0.04599629,0.136087241,2.044283785,1.186601879,0.33252571,0.086773824,0.421836867,28,NA,14,NA,8,NA,NA,3,NA,16,2,8,25,2,5,19,1,NA,5,26,NA,NA,NA,5,0.042641849,0.287517687,0.336745636,0.715997048,0.061882397,0.040787736
23-83,II-L-12,2,L,alate,0.22988998,0.116783081,0.08217909,0.892822797,NA,1.881567108,NA,0.032526166,0.048206621,0.136877471,2.276971648,1.377136267,0.359802812,0.095456932,0.467090281,32,NA,19,NA,11,NA,NA,3,NA,17,2,6,29,2,4,23,2,NA,6,35,NA,NA,NA,5,0.04061808,0.282469011,0.349662449,0.764718162,0.080430217,0.039761932
"F+H: 8143a; SR, IL",Frison + Hotts: 8143a,2,NA,alate,0.26330476,0.12673328,0.09171445,0.87875951,NA,1.73844915,NA,0.02775976,0.0460213,0.11469092,2.39985648,1.31655193,NA,0.08562343,0.27892035,30,NA,13,NA,10,NA,NA,6,NA,17,2,7,NA,2,NA,NA,3,NA,6,37,NA,NA,NA,NA,0.05535337,NA,NA,0.72951903,NA,NA
"F+H: 8143b; SR, IL",Frison + Hotts: 8143b,2,NA,alate,0.256431225,0.124282348,0.096826758,0.895553725,NA,1.846923862,NA,0.028668582,0.05373229,0.125365542,2.467650165,1.560659715,NA,0.09869733,0.347351787,28,NA,12,NA,10,NA,NA,3,NA,NA,2,6,NA,2,NA,15,NA,NA,6,36,NA,NA,NA,NA,0.053868829,NA,NA,0.740179715,NA,NA
"F+H: 8143d; SR, IL",Frison + Hotts: 8143d,2,NA,alate,0.24338395,0.127359233,0.091105071,0.752307926,NA,1.754368816,NA,0.039126207,0.051124151,0.117125444,2.43159582,NA,NA,0.091867208,0.3735319,29,NA,11,NA,10,NA,NA,4,NA,14,2,10,NA,2,NA,NA,NA,NA,4,34,NA,NA,NA,NA,0.059010776,NA,NA,0.7331838,NA,NA
"F+H: 8143f; SR, IL",Frison + Hotts: 8143f,2,NA,alate,0.223949506,0.13750435,0.106557847,0.802074505,NA,1.805447006,NA,0.035553397,0.052077715,0.112848899,2.539070393,1.660253009,NA,NA,NA,25,NA,15,NA,11,NA,NA,4,NA,16,2,7,NA,2,NA,NA,NA,NA,5,29,NA,NA,NA,NA,0.068230296,NA,NA,0.747300582,NA,NA
"F+H: 8143g; SR, IL",Frison + Hotts: 8143g,2,NA,alate,0.233554401,0.12443215,0.1003701,0.902096853,NA,1.801174271,NA,0.033749885,0.054317166,0.098435406,2.300597552,1.507269696,NA,NA,NA,30,NA,14,NA,9,NA,NA,4,NA,12,2,11,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048997609,NA,NA,0.734919047,NA,NA
"F+H: 8145a; SR, IL",Frison + Hotts: 8145a,2,NA,alate,0.239593045,0.133182261,0.105946039,0.862017394,NA,1.882501396,NA,0.033961362,0.052977501,0.111910686,2.436507116,1.631784028,0.242993366,0.109668899,0.418709567,32,NA,14,NA,10,NA,NA,4,NA,14,2,5,NA,2,NA,NA,NA,NA,5,38,NA,NA,NA,NA,0.064399028,NA,NA,0.73997047,NA,NA
"F+H: 8145b; SR, IL",Frison + Hotts: 8145b,2,NA,alate,0.211321359,0.127129545,0.112163602,0.761307121,NA,1.805586448,NA,0.027429617,0.051063413,0.113215009,2.213449226,NA,NA,0.093599093,0.371539088,30,NA,15,NA,11,NA,NA,2,NA,14,2,5,NA,2,NA,18,NA,NA,5,40,NA,NA,NA,NA,0.058696057,NA,NA,0.714836917,NA,NA
