Collection ID,GenBank Accession,Date,Location,Decimal Degrees GPS Coordinates,Host,Collector
25-59,,01vi2025,"USA: WI, Walworth Co., Lake Geneva","42.62225, -88.41452",Betula nigra,Gavin Munson
25-61,,01vi2025,"USA: WI, Milwaukee Co., Bayside","43.17431, -87.88771",Betula papyrifera,Gavin Munson
25-62,,01vi2025,"USA: WI, Milwaukee Co., Bayside","43.17434, -87.88533",Betula papyrifera,Gavin Munson
25-63,,01vi2025,"USA: WI, Milwaukee Co., Bayside","43.17382, -87.88532",Betula populifolia,Gavin Munson
25-65,,01vi2025,"USA: WI, Milwaukee Co., Milwaukee","43.05062, -87.90665",Betula nigra,Gavin Munson
25-67,,21v2025,"USA: MN, Ramsey Co., St. Paul, University of Minnesota","44.98757, -93.18657",Betula nigra,Carol von Dohlen
25-68,,22v2025,"USA: MN, Dakota Co., Lebanon Hills Regional Park","44.78425, -93.12613",Betula papyrifera,Carol von Dohlen
25-70,,24v2025,"USA: MN, Carver Co., Chaska, Minnesota Landscape Arboretum","44.86028, -93.62059",Betula nigra,Carol von Dohlen
25-71,,24v2025,"USA: MN, Carver Co., Chaska, Minnesota Landscape Arboretum","44.86034, -93.62029",Betula papyrifera,Carol von Dohlen
25-72,,24v2025,"USA: MN, Carver Co., Chaska, Minnesota Landscape Arboretum","44.85960, -93.61890",Betula nigra,Carol von Dohlen
25-73,,25v2025,"USA: MN, Hennepin Co., Wayzata, Wood-Rill State Natural Area","44.99015, -93.53279",Betula papyrifera,Carol von Dohlen
25-74,,29vii2025,"USA: CT, Hartford Co., West Hartford","41.80019, -72.77938",Hamamelis virginiana,Carol von Dohlen
25-75,"no genetics, yes morpho",29vii2025,"USA: CT, Hartford Co., West Hartford","41.80019, -72.77937",Hamamelis virginiana,Carol von Dohlen
25-76,,29vii2025,"USA: CT, Hartford Co., West Hartford","41.80019, -72.77938",Hamamelis virginiana,Carol von Dohlen
25-77,"no genetics, yes morpho",29vii2025,"USA: CT, Hartford Co., West Hartford","41.80019, -72.77939",Hamamelis virginiana,Carol von Dohlen
25-78,"no genetics, yes morpho",29vii2025,"USA: CT, Hartford Co., Simsbury","41.83695, -72.79619",Hamamelis virginiana,Carol von Dohlen
25-79,,29vii2025,"USA: CT, Hartford Co., Simsbury","41.83695, -72.79620",Hamamelis virginiana,Carol von Dohlen
25-80,,29vii2025,"USA: CT, Hartford Co., Simsbury","41.83695, -72.79620",Hamamelis virginiana,Carol von Dohlen
25-82,,29vii2025,"USA: MA, Hampden Co., Westfield","42.122572, -72.790223",Hamamelis virginiana,Carol von Dohlen
25-84,,29vii2025,"USA: MA, Hampden Co., Westfield","42.860249, -72.566764",Hamamelis virginiana,Carol von Dohlen
94-27,PX844236,02vii1994,"USA: ID, Boundary Co., Bonners Ferry",,Betula occidentalis,Carol von Dohlen
